,mw,logp,rotb,ap,hbd,hba,non_cp,psa,fsp3,logs
0,167.85,2.5954000000000006,0,0.0,0,0,0.6666666666666666,0.0,1.0,-2.18
1,133.405,2.376500000000001,0,0.0,0,0,0.6,0.0,1.0,-2.0
2,167.85,2.5938,1,0.0,0,0,0.6666666666666666,0.0,1.0,-1.74
3,133.405,2.0289,1,0.0,0,0,0.6,0.0,1.0,-1.48
4,187.37500000000003,2.9189,1,0.0,0,0,0.75,0.0,1.0,-3.04
5,98.96000000000001,1.81,0,0.0,0,0,0.5,0.0,1.0,-1.29
6,96.94399999999999,1.9352,0,0.0,0,0,0.5,0.0,0.0,-1.64
7,118.176,1.4054,4,0.0,0,2,0.25,18.46,1.0,-0.43
8,215.894,4.3002,0,0.6,0,0,0.4,0.0,0.0,-4.57
9,132.20599999999996,2.5654000000000003,0,0.6,0,0,0.0,0.0,0.4,-4.37
10,215.894,4.3002,0,0.6,0,0,0.4,0.0,0.0,-4.63
11,181.44899999999998,3.6468000000000007,0,0.6666666666666666,0,0,0.3333333333333333,0.0,0.0,-4.0
12,120.195,2.611860000000001,0,0.6666666666666666,0,0,0.0,0.0,0.3333333333333333,-3.2
13,393.69800000000004,4.7366,0,0.6,0,0,0.4,0.0,0.0,-6.98
14,215.894,4.3002,0,0.6,0,0,0.4,0.0,0.0,-5.56
15,134.22199999999998,2.9202800000000018,0,0.6,0,0,0.0,0.0,0.4,-4.59
16,314.802,3.974100000000001,0,0.6666666666666666,0,0,0.3333333333333333,0.0,0.0,-4.5
17,181.449,3.6468000000000007,0,0.6666666666666666,0,0,0.3333333333333333,0.0,0.0,-3.59
18,120.195,2.611860000000001,0,0.6666666666666666,0,0,0.0,0.0,0.3333333333333333,-3.31
19,110.11199999999998,1.0977999999999999,0,0.75,2,2,0.25,40.46,0.0,0.62
20,235.90599999999998,3.2116000000000007,0,0.75,0,0,0.25,0.0,0.0,-3.5
21,187.862,1.7762,1,0.0,0,0,0.5,0.0,1.0,-1.68
22,147.00399999999996,2.9934000000000003,0,0.75,0,0,0.25,0.0,0.0,-3.05
23,98.96000000000001,1.464,1,0.0,0,0,0.5,0.0,1.0,-1.06
24,112.98700000000001,1.8525,1,0.0,0,0,0.4,0.0,1.0,-1.6
25,170.92000000000002,2.6495999999999995,1,0.0,0,0,0.75,0.0,1.0,-2.74
26,118.176,1.0594000000000001,5,0.0,0,2,0.25,18.46,1.0,-0.77
27,134.22199999999998,2.811400000000001,2,0.6,0,0,0.0,0.0,0.4,-3.28
28,168.10799999999995,1.503,2,0.5,0,4,0.5,86.28,0.0,-3.1
29,58.08,0.4051,0,0.0,0,1,0.25,12.53,1.0,-0.59
30,314.802,3.974100000000001,0,0.6666666666666666,0,0,0.3333333333333333,0.0,0.0,-5.6
31,181.449,3.6468000000000007,0,0.6666666666666666,0,0,0.3333333333333333,0.0,0.0,-4.48
32,120.19499999999998,2.611860000000001,0,0.6666666666666666,0,0,0.0,0.0,0.3333333333333333,-3.4
33,213.10499999999996,1.4112,3,0.4,0,6,0.6,129.42000000000002,0.0,-2.89
34,110.11199999999998,1.0977999999999999,0,0.75,2,2,0.25,40.46,0.0,0.81
35,54.09199999999999,1.3584,1,0.0,0,0,0.0,0.0,0.0,-1.87
36,235.90599999999998,3.2116000000000007,0,0.75,0,0,0.25,0.0,0.0,-3.54
37,147.004,2.993400000000001,0,0.75,0,0,0.25,0.0,0.0,-3.04
38,112.98700000000001,1.8540999999999999,2,0.0,0,0,0.4,0.0,1.0,-1.62
39,132.232,0.49030000000000007,2,0.0,2,1,0.375,56.150000000000006,0.8,-1.46
40,114.094,1.9648,0,0.75,0,0,0.25,0.0,0.0,-2.0
41,156.22799999999998,3.456640000000002,0,0.8333333333333334,0,0,0.0,0.0,0.16666666666666666,-4.29
42,168.10799999999995,1.503,2,0.5,0,4,0.5,86.28,0.0,-2.29
43,110.11199999999998,1.0977999999999999,0,0.75,2,2,0.25,40.46,0.0,-0.17
44,80.12999999999998,1.8926,0,0.0,0,0,0.0,0.0,0.3333333333333333,-2.06
45,235.90599999999998,3.2116000000000007,0,0.75,0,0,0.25,0.0,0.0,-4.07
46,147.00400000000002,2.993400000000001,0,0.75,0,0,0.25,0.0,0.0,-3.27
47,134.22199999999998,2.811400000000001,2,0.6,0,0,0.0,0.0,0.4,-3.75
48,114.094,1.9647999999999999,0,0.75,0,0,0.25,0.0,0.0,-1.97
49,156.228,3.456640000000002,0,0.8333333333333334,0,0,0.0,0.0,0.16666666666666666,-4.14
50,168.10799999999995,1.503,2,0.5,0,4,0.5,86.28,0.0,-3.39
51,68.119,1.7485,2,0.0,0,0,0.0,0.0,0.2,-2.09
52,156.228,3.456640000000002,0,0.8333333333333334,0,0,0.0,0.0,0.16666666666666666,-4.679
53,82.14599999999999,2.1386000000000003,3,0.0,0,0,0.0,0.0,0.3333333333333333,-2.68
54,180.20999999999998,2.7830000000000004,0,1.0,0,2,0.14285714285714285,25.78,0.0,-2.68
55,154.253,2.7441000000000013,0,0.0,0,1,0.09090909090909091,9.23,1.0,-1.74
56,302.4580000000001,4.269300000000004,0,0.0,1,2,0.09090909090909091,37.3,0.85,-3.999
57,194.23700000000002,2.970200000000001,0,0.9333333333333333,1,2,0.13333333333333333,38.91,0.0,-4.22
58,137.01999999999998,2.0373,1,0.0,0,0,0.2,0.0,1.0,-2.43
59,137.01999999999998,2.1814,2,0.0,0,0,0.2,0.0,1.0,-2.37
60,179.101,3.351700000000002,5,0.0,0,0,0.125,0.0,1.0,-4.43
61,165.074,2.9616000000000016,4,0.0,0,0,0.14285714285714285,0.0,1.0,-3.81
62,207.07,3.6023000000000014,0,0.9090909090909091,0,0,0.09090909090909091,0.0,0.0,-4.35
63,193.128,3.741800000000003,6,0.0,0,0,0.1111111111111111,0.0,1.0,-5.06
64,151.047,2.5715000000000012,3,0.0,0,0,0.16666666666666666,0.0,1.0,-3.08
65,122.993,1.7913000000000001,1,0.0,0,0,0.25,0.0,1.0,-1.73
66,74.12299999999999,0.7787999999999999,2,0.0,1,1,0.2,20.23,1.0,0.0
67,56.108,1.5824,1,0.0,0,0,0.0,0.0,0.5,-1.94
68,54.09199999999999,1.0295999999999998,0,0.0,0,0,0.0,0.0,0.5,-1.24
69,143.411,1.6200999999999999,1,0.0,0,0,0.5,0.0,1.0,-1.32
70,92.569,1.8812,1,0.0,0,0,0.2,0.0,1.0,-2.0
71,92.56899999999999,2.0253,2,0.0,0,0,0.2,0.0,1.0,-2.03
72,134.65,3.1956000000000016,5,0.0,0,0,0.125,0.0,1.0,-4.0
73,120.623,2.805500000000001,4,0.0,0,0,0.14285714285714285,0.0,1.0,-3.12
74,162.61899999999997,3.4932000000000016,0,0.9090909090909091,0,0,0.09090909090909091,0.0,0.0,-3.93
75,106.596,2.415400000000001,3,0.0,0,0,0.16666666666666666,0.0,1.0,-2.73
